Unnamed: 0,Tree_number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,3.605994500001540,stay,1.006883199996080,94,94,94
1,1,6.554087900003650,stay,0.5549494000006230,85,179,179
2,1,9.857698100007840,stay,0.5925496999989260,75,254,254
3,1,13.01560940001220,stay,0.5342747000104280,62,316,316
4,1,16.195638300007000,stay,0.6141269000072500,47,363,363
6,2,32.851476800002300,stay,0.8369526000024050,98,98,461
7,2,36.02980519999980,stay,0.7316967999940970,80,178,541
8,2,39.33393710000380,stay,0.6529953999997820,69,247,610
9,2,42.60748030000830,stay,0.4930764000018830,62,309,672
10,2,45.84566740000450,stay,0.98053409998829,51,360,723
11,2,49.02575690000960,stay,0.911647200002335,37,397,760
12,2,54.67353350001210,stay,0.7926483000046570,34,431,794
13,2,58.01770560001020,stay,0.6034580999985340,17,448,811
15,3,74.47189380000050,stay,0.8153775000100720,100,100,911
16,3,77.67754340000100,stay,0.5808051999920280,79,179,990
17,3,80.8776649000065,stay,0.6808418000000530,65,244,1055
18,3,84.13000319999990,stay,0.8328448999964170,65,309,1120
19,3,87.30973330000420,stay,0.7296105999994330,52,361,1172
20,3,90.60167770000410,stay,0.8550450000038840,35,396,1207
21,3,93.98568460000390,stay,0.8054862999997570,26,422,1233
23,4,115.45012460000000,stay,0.9372135000012350,95,95,1328
24,4,119.11783200000400,stay,0.921551699997508,80,175,1408
25,4,122.9078668000000,stay,1.045075200003340,72,247,1480
26,4,126.44151520000000,stay,0.7453145000035880,57,304,1537
27,4,129.9499794000000,stay,0.904717299999902,54,358,1591
28,4,133.1838415000090,stay,0.9045149000012320,40,398,1631
29,4,136.4497440000120,stay,0.787412099991343,29,427,1660
31,5,152.85594059999900,stay,0.7772255000018050,89,89,1749
32,5,156.19156200000700,stay,0.5794809000071840,75,164,1824
33,5,159.43006490000700,stay,0.61764189999667,73,237,1897
34,5,162.71953440000700,stay,0.6742347999970660,60,297,1957
35,5,165.8918891000070,stay,0.6959878000052410,48,345,2005
36,5,169.00187480000000,stay,0.6402249999955530,42,387,2047
37,5,172.59771930000000,stay,1.0527090999967200,35,422,2082
38,5,175.8357881999980,stay,1.0242201000073700,25,447,2107
40,6,198.0477641000030,stay,0.9359810000023570,98,98,2205
41,6,203.72350790000900,stay,0.8291709999903110,76,174,2281
42,6,207.48547840000500,stay,0.6237392999901200,71,245,2352
43,6,210.74798690000900,stay,0.7535250000073570,63,308,2415
44,6,213.81390380000800,stay,0.8364671000017550,52,360,2467
45,6,216.94761780000400,stay,0.7033296000008700,38,398,2505
47,7,233.3540650000070,stay,0.6432344000058950,98,98,2603
48,7,236.37393490001000,stay,0.7302267999912150,79,177,2682
49,7,239.460207600001,stay,0.6826354000077120,67,244,2749
50,7,242.45164450000400,stay,0.6578020000015390,63,307,2812
51,7,245.6455466000040,stay,0.6684890999895290,49,356,2861
52,7,248.40423420000300,stay,0.610245500007295,40,396,2901
53,7,251.42386700000500,stay,0.8301989000028700,33,429,2934
55,8,269.84206030001200,stay,0.882066299993312,93,93,3027
56,8,272.86594870001100,stay,0.7727303000137910,78,171,3105
57,8,275.86603470001100,stay,0.7394257999985710,73,244,3178
58,8,278.93561710001100,stay,0.7592777999961980,55,299,3233
59,8,281.94402660000200,stay,0.6679433999961480,45,344,3278
60,8,285.169653200006,stay,0.7769379999954250,42,386,3320
61,8,288.35595399999900,stay,0.7467593000037600,34,420,3354
62,8,291.7839967000040,stay,1.0412177999969600,20,440,3374
