,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,5.32831029999943,stay,0.7184430999914184,88,88,88
1,1,8.904552299994975,stay,0.4950851000030525,78,166,166
2,1,11.834328099997947,stay,0.6252393999893684,70,236,236
3,1,14.484376299995347,stay,0.5419410999893444,62,298,298
4,1,17.15472890000092,stay,0.6117354000016348,51,349,349
5,1,20.934355599994888,leave,0.4582782000070438,0,349,349
6,2,34.01256060000742,stay,1.1539940000075148,86,86,435
7,2,36.83817230000568,stay,0.746271700001671,81,167,516
8,2,39.400494800007436,stay,0.6594782000029227,70,237,586
9,2,42.16440199999488,stay,0.505739199987147,65,302,651
10,2,45.164784000007785,stay,1.1228469000052428,50,352,701
11,2,47.781162900006166,stay,0.5891298000060488,42,394,743
12,2,50.318763000002946,stay,0.5265875000040978,31,425,774
13,2,53.44044420000864,leave,0.8486412000056589,0,425,774
14,3,66.23807059999672,stay,0.5467774999997346,87,87,861
15,3,68.7302103999973,stay,0.48869980000017677,84,171,945
16,3,71.27845529999468,stay,0.8330371000047307,67,238,1012
17,3,74.56404330000805,stay,0.4387276000052225,64,302,1076
18,3,76.95421870000428,stay,0.4960391000058735,55,357,1131
19,3,79.55803549999837,stay,0.4340840000077151,43,400,1174
20,3,82.00247880000097,stay,0.6115040000004228,26,426,1200
21,3,84.50107779999962,stay,0.5272091000078944,16,442,1216
22,3,88.03060830000322,leave,0.455865800002357,0,442,1216
23,4,100.39261530000658,stay,0.618703899992397,98,98,1314
24,4,102.87839719999465,stay,0.5711627999990014,76,174,1390
25,4,105.71039809999638,stay,0.46947979999822564,75,249,1465
26,4,108.20208479999565,stay,0.5113465999893378,62,311,1527
27,4,110.62231350000366,stay,0.5314420000067912,51,362,1578
28,4,113.06043300000601,stay,0.6031399000057718,37,399,1615
29,4,115.59837900000275,stay,0.5080289000034099,32,431,1647
30,4,118.29039110000303,stay,0.49976259999675676,21,452,1668
31,4,120.68630899999698,leave,0.5952418000088073,0,452,1668
32,5,133.10678400000324,stay,0.4677698000014061,88,88,1756
33,5,135.77033620000293,stay,0.5973402999952668,83,171,1839
34,5,138.19012870000734,stay,0.44958989998849574,72,243,1911
35,5,141.55823769999552,stay,0.4193555999954697,58,301,1969
36,5,144.19660559999465,stay,0.6241112999996403,48,349,2017
37,5,147.13460479999776,stay,0.7943923999991966,40,389,2057
38,5,149.72420399999828,stay,0.5339143000019249,29,418,2086
39,5,152.59823050000705,leave,0.5920117999921786,0,418,2086
40,6,165.06446160000633,stay,0.5920517000049585,95,95,2181
41,6,167.65420210000593,stay,0.49774219999380875,76,171,2257
42,6,170.18482860000222,stay,0.5289059000060661,65,236,2322
43,6,172.88669610000215,stay,0.613922000004095,63,299,2385
44,6,175.6000461000076,stay,0.6775752999965334,46,345,2431
45,6,178.25224739999976,stay,0.529828800004907,43,388,2474
46,6,180.9661911000003,stay,0.47730569999839645,25,413,2499
47,6,183.59193330000562,leave,0.5030159000016283,0,413,2499
48,7,196.1000350999966,stay,0.5944330999918748,92,92,2591
49,7,198.67032130000007,stay,0.5651297000003979,84,176,2675
50,7,201.1845561999944,stay,0.4960321999969892,70,246,2745
51,7,203.632199700005,stay,0.5269946000044001,63,309,2808
52,7,206.04213129999698,stay,0.5038231000071391,55,364,2863
53,7,208.58414600000833,stay,0.4960288000002038,35,399,2898
54,7,211.0926066999964,stay,0.5208319000084884,32,431,2930
55,7,213.81035899999551,leave,0.5886459999892395,0,431,2930
56,8,226.12852300000668,stay,0.6263497000036296,91,91,3021
57,8,228.65446130000055,stay,0.5660860000061803,81,172,3102
58,8,231.1182756000053,stay,0.4637802999932319,70,242,3172
59,8,233.51432679999562,stay,0.49305099999764934,65,307,3237
60,8,236.3519637999998,stay,0.9141168999922229,49,356,3286
61,8,238.7322470000072,stay,0.4616673999989871,39,395,3325
62,8,241.30800220000674,stay,0.5867358000105014,29,424,3354
63,8,244.01828750000277,leave,0.7305398000025889,0,424,3354
64,9,256.26209910000034,stay,0.5245552999986103,97,97,3451
65,9,259.12251390000165,stay,0.7347726000007242,76,173,3527
66,9,261.6901790999982,stay,0.6360514999978477,73,246,3600
67,9,265.7402940000029,stay,0.43589959999371786,65,311,3665
68,9,268.78206490000593,stay,0.511475999999675,45,356,3710
69,9,271.4603192000068,stay,0.5736920000053942,40,396,3750
70,9,274.20417830000224,stay,0.5005572999943979,29,425,3779
71,9,276.85422069999913,leave,0.7169732000038493,0,425,3779
72,10,289.10648400000355,stay,0.4528980000031879,100,100,3879
73,10,292.7084973000019,stay,0.3213911999919219,77,177,3956
74,10,295.18795439999667,stay,0.6013376000046264,67,244,4023
75,10,297.6781568000006,stay,0.6414371999999275,57,301,4080
