Unnamed: 0,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
5,1,19.803664700011723,leave,0.7386421000119299,0,363,363
14,2,61.01190000001225,leave,0.6807087000051979,0,448,811
22,3,96.7920499000029,leave,0.7285961000015959,0,422,1233
30,4,140.00797940000484,leave,1.3287353000050643,0,427,1660
39,5,178.93758180001169,leave,1.009440399997402,0,447,2107
46,6,219.7560104000004,leave,0.5950175000034506,0,398,2505
54,7,254.33975949999876,leave,0.7959178000019165,0,429,2934
63,8,295.07563000000664,leave,0.7663999000069452,0,440,3374
