,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,4.60643379999965,stay,1.339958900003694,88,88,88
1,1,8.707867999997688,leave,0.841784699994605,0,88,88
2,2,24.33370420000574,stay,0.5683779000100913,92,92,180
3,2,28.27365980000468,stay,0.8081688000092981,82,174,262
4,2,31.998009500006447,stay,1.315413999996963,69,243,331
5,2,35.577888100000564,stay,0.6956203000008827,58,301,389
6,2,39.31597769999644,leave,0.8338789999979781,0,301,389
7,3,52.45983239999623,stay,0.7281508000014583,93,93,482
8,3,55.34407419999479,stay,0.8289353999862215,75,168,557
9,3,58.462197100001504,stay,0.6300744999898598,70,238,627
10,3,61.495719800004736,stay,0.6143038000009255,64,302,691
11,3,64.53770539999823,stay,0.7230811000044923,51,353,742
12,3,67.32583149999846,stay,0.6275138999917544,42,395,784
13,3,70.12785509999958,stay,0.5796941000007791,30,425,814
14,3,73.60174159999588,leave,0.8035603000025731,0,425,814
15,4,86.27986080000119,stay,0.8152158999873791,85,85,899
16,4,88.96776800000225,stay,0.5868181999976514,78,163,977
17,4,92.04428509999707,stay,0.7962878999969689,69,232,1046
18,4,94.89016450000054,stay,0.4595485999889206,61,293,1107
19,4,97.9259097000031,stay,0.6115159999899333,54,347,1161
20,4,100.83569710000302,stay,0.6216547000076389,45,392,1206
21,4,103.6240242000058,stay,0.5923859999893466,29,421,1235
22,4,106.68006369999785,leave,0.7159838999941712,0,421,1235
23,5,119.08203309999953,stay,0.6183796000113944,87,87,1322
24,5,121.88019769999664,stay,0.5157943000085652,81,168,1403
25,5,124.73970210000698,stay,0.7596178000094369,70,238,1473
26,5,127.59587770000508,stay,0.5984677999949781,62,300,1535
27,5,130.67410499999824,stay,0.6770401999965543,51,351,1586
28,5,133.32205830000748,stay,0.6084900999994716,40,391,1626
29,5,136.06780509999953,stay,0.6039624999975786,32,423,1658
30,5,138.74600030000147,stay,0.7826780000032159,18,441,1676
31,5,141.99192949999997,leave,0.49478459999954794,0,441,1676
32,6,154.90391370000725,stay,0.574018100000103,95,95,1771
33,6,158.71987369999988,stay,0.6402073999925051,75,170,1846
34,6,161.74781580000126,stay,0.6014271000021836,67,237,1913
35,6,166.94821570000204,stay,0.7852053999959026,55,292,1968
36,6,169.8358859,stay,0.6731629000132671,51,343,2019
37,6,172.8082332000049,stay,0.7120364000002155,41,384,2060
38,6,176.37628320000658,stay,0.8968563999951584,27,411,2087
39,6,179.37008150000474,stay,0.7575232000090182,19,430,2106
40,6,182.15796549999504,leave,0.5453388000023551,0,430,2106
41,7,194.85781119999592,stay,0.6789905999903567,99,99,2205
42,7,197.86376429999655,stay,0.5348751999990782,85,184,2290
43,7,200.7980161000014,stay,0.6192045999923721,71,255,2361
44,7,203.71405900000536,stay,0.5188737999997102,58,313,2419
45,7,206.5679330999992,stay,0.5058741999964695,47,360,2466
46,7,209.35042400000384,stay,0.5216755000001285,41,401,2507
47,7,212.3737267999968,stay,0.9114636000012979,33,434,2540
48,7,216.15227550000418,stay,0.7573501000006218,15,449,2555
49,7,219.44982910000545,leave,0.7380286999978125,0,449,2555
50,8,232.98807859999943,stay,0.5765506999887293,90,90,2645
51,8,235.87983410000743,stay,0.6009204000001773,81,171,2726
52,8,238.8042041000008,stay,0.6427236000017729,65,236,2791
53,8,241.8800576000067,stay,0.7018300999916391,61,297,2852
54,8,244.52399349999905,stay,0.7936491999862483,45,342,2897
55,8,247.18811529999948,stay,0.7104038999968907,41,383,2938
56,8,249.85398640000494,stay,0.6428538000036497,28,411,2966
57,8,252.5619202000089,stay,0.6838088000076823,24,435,2990
58,8,255.79020899999887,leave,0.6958857999998145,0,435,2990
59,9,268.9877759000083,stay,1.0602106000005733,98,98,3088
60,9,273.76388260000385,stay,0.6027580000081798,85,183,3173
61,9,276.9519988999964,stay,0.8250509000063175,65,248,3238
62,9,280.22235779999755,stay,1.010989199989126,60,308,3298
63,9,283.1898777000024,stay,0.7458717000117758,51,359,3349
64,9,287.34784400000353,stay,1.2208300000056624,45,404,3394
65,9,290.4340383999952,stay,0.7901151999976719,31,435,3425
66,9,294.31032309999864,stay,0.7828319000109332,24,459,3449
67,9,297.26801670000714,stay,0.6245401000051061,10,469,3459
