,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,3.605994500001543,stay,1.0068831999960821,94,94,94
1,1,6.554087900003651,stay,0.5549494000006234,85,179,179
2,1,9.857698100007838,stay,0.5925496999989264,75,254,254
3,1,13.015609400012181,stay,0.5342747000104282,62,316,316
4,1,16.195638300006976,stay,0.6141269000072498,47,363,363
5,1,19.803664700011723,leave,0.7386421000119299,0,363,363
6,2,32.851476800002274,stay,0.8369526000024052,98,98,461
7,2,36.02980519999983,stay,0.7316967999940971,80,178,541
8,2,39.33393710000382,stay,0.6529953999997815,69,247,610
9,2,42.60748030000832,stay,0.4930764000018826,62,309,672
10,2,45.84566740000446,stay,0.9805340999882901,51,360,723
11,2,49.02575690000958,stay,0.911647200002335,37,397,760
12,2,54.67353350001213,stay,0.7926483000046574,34,431,794
13,2,58.01770560001023,stay,0.6034580999985337,17,448,811
14,2,61.01190000001225,leave,0.6807087000051979,0,448,811
15,3,74.47189380000054,stay,0.8153775000100723,100,100,911
16,3,77.67754340000101,stay,0.5808051999920281,79,179,990
17,3,80.8776649000065,stay,0.6808418000000529,65,244,1055
18,3,84.13000319999992,stay,0.8328448999964166,65,309,1120
19,3,87.30973330000415,stay,0.7296105999994325,52,361,1172
20,3,90.60167770000407,stay,0.8550450000038836,35,396,1207
21,3,93.98568460000388,stay,0.8054862999997567,26,422,1233
22,3,96.7920499000029,leave,0.7285961000015959,0,422,1233
23,4,115.45012459999998,stay,0.9372135000012349,95,95,1328
24,4,119.11783200000355,stay,0.921551699997508,80,175,1408
25,4,122.90786680000019,stay,1.045075200003339,72,247,1480
26,4,126.44151520000014,stay,0.7453145000035875,57,304,1537
27,4,129.9499794000003,stay,0.904717299999902,54,358,1591
28,4,133.1838415000093,stay,0.9045149000012316,40,398,1631
29,4,136.4497440000123,stay,0.787412099991343,29,427,1660
30,4,140.00797940000484,leave,1.3287353000050643,0,427,1660
31,5,152.85594059999858,stay,0.7772255000018049,89,89,1749
32,5,156.19156200000725,stay,0.5794809000071837,75,164,1824
33,5,159.43006490000698,stay,0.61764189999667,73,237,1897
34,5,162.71953440000652,stay,0.6742347999970661,60,297,1957
35,5,165.89188910000667,stay,0.6959878000052413,48,345,2005
36,5,169.00187480000022,stay,0.6402249999955529,42,387,2047
37,5,172.59771929999988,stay,1.0527090999967186,35,422,2082
38,5,175.8357881999982,stay,1.0242201000073692,25,447,2107
39,5,178.93758180001169,leave,1.009440399997402,0,447,2107
40,6,198.0477641000034,stay,0.9359810000023572,98,98,2205
41,6,203.72350790000928,stay,0.8291709999903105,76,174,2281
42,6,207.48547840000538,stay,0.6237392999901203,71,245,2352
43,6,210.74798690000898,stay,0.7535250000073574,63,308,2415
44,6,213.81390380000812,stay,0.8364671000017552,52,360,2467
45,6,216.94761780000408,stay,0.7033296000008704,38,398,2505
46,6,219.75601040000038,leave,0.5950175000034506,0,398,2505
47,7,233.3540650000068,stay,0.6432344000058947,98,98,2603
48,7,236.37393490000977,stay,0.7302267999912146,79,177,2682
49,7,239.460207600001,stay,0.6826354000077117,67,244,2749
50,7,242.45164450000448,stay,0.6578020000015385,63,307,2812
51,7,245.6455466000043,stay,0.6684890999895288,49,356,2861
52,7,248.40423420000297,stay,0.610245500007295,40,396,2901
53,7,251.42386700000498,stay,0.8301989000028698,33,429,2934
54,7,254.33975949999876,leave,0.7959178000019165,0,429,2934
55,8,269.84206030001224,stay,0.882066299993312,93,93,3027
56,8,272.86594870001136,stay,0.7727303000137908,78,171,3105
57,8,275.86603470001137,stay,0.7394257999985712,73,244,3178
58,8,278.93561710001086,stay,0.7592777999961982,55,299,3233
59,8,281.94402660000196,stay,0.6679433999961475,45,344,3278
60,8,285.169653200006,stay,0.7769379999954253,42,386,3320
61,8,288.35595399999875,stay,0.7467593000037596,34,420,3354
62,8,291.7839967000036,stay,1.0412177999969572,20,440,3374
63,8,295.07563000000664,leave,0.7663999000069452,0,440,3374
