,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,2.885416699999041,stay,0.4327537000008306,100,100,100
1,1,5.379939699998431,stay,0.44378820000019914,81,181,181
2,1,7.847776599999634,stay,0.4786519000008411,67,248,248
3,1,10.51196439999876,stay,0.5427945999999793,64,312,312
4,1,13.034070300000167,stay,0.4643030000006547,50,362,362
5,1,15.563563599998815,stay,0.4608385999999882,42,404,404
6,1,18.069483999999647,stay,0.5169397000008757,25,429,429
7,1,20.37153169999874,leave,0.4355924999999843,0,429,429
8,2,32.62787380000009,stay,0.5089812000005622,95,95,524
9,2,35.469499599999835,stay,0.7178865000005317,81,176,605
10,2,38.2439904999992,stay,0.45823180000115826,68,244,673
11,2,40.87354039999991,stay,0.5880581999990682,56,300,729
12,2,43.45748049999929,stay,0.5886510000000271,55,355,784
13,2,46.25964699999895,stay,0.6408933000002435,35,390,819
14,2,49.91762969999945,leave,0.3989151000005222,0,390,819
15,3,62.55157169999984,stay,0.8335115999998379,88,88,907
16,3,65.11581769999975,stay,0.49789140000029874,84,172,991
17,3,67.58533569999963,stay,0.44990289999987,68,240,1059
18,3,69.97759889999907,stay,0.49249240000062855,64,304,1123
19,3,72.51141800000005,stay,0.5268118999993021,53,357,1176
20,3,75.15345349999916,stay,0.7187155999999959,45,402,1221
21,3,77.93146389999856,stay,0.49681800000143994,27,429,1248
22,3,80.68787779999911,stay,0.5201605999991443,17,446,1265
23,3,83.21152599999914,leave,0.46033929999975953,0,446,1265
24,4,95.67345249999926,stay,0.7225875000003725,98,98,1363
25,4,98.53563659999963,stay,0.4680809000001318,76,174,1439
26,4,100.97964669999965,stay,0.5124193000010564,72,246,1511
27,4,103.29171489999862,stay,0.45674379999945813,62,308,1573
28,4,105.7038708,stay,0.5031257000009646,52,360,1625
29,4,108.17208739999842,stay,0.47156579999864334,39,399,1664
30,4,110.61597780000011,stay,0.4821031999999832,32,431,1696
31,4,112.85365730000012,leave,0.4029352999987168,0,431,1696
32,5,125.02542389999871,stay,0.4752561000004789,88,88,1784
33,5,127.77154039999914,stay,0.4875406999999541,83,171,1867
34,5,130.21536109999943,stay,0.48171910000019125,68,239,1935
35,5,133.20582990000003,stay,0.989053999999669,57,296,1992
36,5,136.14994649999971,stay,0.8663584000005358,50,346,2042
37,5,138.68568629999936,stay,0.46902870000121766,39,385,2081
38,5,141.15360489999875,stay,0.48718860000008135,27,412,2108
39,5,143.6176005999987,stay,0.48371919999954116,17,429,2125
40,5,146.07219449999866,stay,0.48888069999884465,13,442,2138
41,5,148.75983559999986,leave,0.5932704999995622,0,442,2138
42,6,160.9395767999995,stay,0.45696439999846916,85,85,2223
43,6,163.31954269999915,stay,0.47022069999911764,76,161,2299
44,6,165.80967319999945,stay,0.4601507000006677,65,226,2364
45,6,168.14960710000014,stay,0.46720230000028096,63,289,2427
46,6,170.53342239999984,stay,0.46761139999944135,54,343,2481
47,6,172.8500243999988,stay,0.6003607000002376,40,383,2521
48,6,175.46580469999935,stay,0.48289330000079644,25,408,2546
49,6,178.2283202999988,stay,0.628533699999025,17,425,2563
50,6,180.93593079999846,stay,0.5201125999992655,13,438,2576
51,6,183.4179052999989,leave,0.5018676999989111,0,438,2576
52,7,195.75766599999952,stay,0.5422471000001678,93,93,2669
53,7,198.1377653999989,stay,0.5055833000005805,76,169,2745
54,7,200.69566870000017,stay,0.480182600000262,70,239,2815
55,7,203.26351409999916,stay,0.5646326000005502,63,302,2878
56,7,205.86783789999936,stay,0.5024646000001667,47,349,2925
57,7,208.55971549999958,stay,0.5610713999994914,43,392,2968
58,7,211.12212129999898,stay,0.5068950000004406,26,418,2994
59,7,213.76797199999965,stay,0.5192628999993758,17,435,3011
60,7,216.26792879999994,stay,0.5194878000002063,12,447,3023
61,7,219.0656345999996,leave,0.6165512000006856,0,447,3023
62,8,231.34365719999914,stay,0.7121254000012414,99,99,3122
63,8,233.67963019999843,stay,0.4484149999989313,80,179,3202
64,8,236.43582479999895,stay,0.6876542999998492,67,246,3269
65,8,239.09420859999955,stay,0.4791160000004311,63,309,3332
66,8,241.67174650000015,stay,0.540257799999381,50,359,3382
67,8,244.21775739999975,stay,0.5030147999987093,37,396,3419
68,8,246.9356418999996,stay,0.6545110999995813,35,431,3454
69,8,249.62774389999868,stay,0.5631606999995711,24,455,3478
70,8,252.20589479999944,stay,0.4247961999990366,6,461,3484
71,8,254.7477644999999,leave,0.5499306999990949,0,461,3484
72,9,267.1338950999998,stay,0.6864076999991084,87,87,3571
73,9,269.4458650999986,stay,0.4815161000005901,75,162,3646
74,9,271.78182879999986,stay,0.41792680000071414,74,236,3720
75,9,274.1736775999998,stay,0.409542399998827,57,293,3777
76,9,276.59817179999845,stay,0.467139500000485,48,341,3825
77,9,279.09586259999924,stay,0.49784159999944677,43,384,3868
78,9,281.5037220999984,stay,0.44032940000033705,31,415,3899
79,9,284.0143386,stay,0.450065099999847,25,440,3924
80,9,286.6278586999997,leave,0.4969874999987951,0,440,3924
81,10,298.8281188000001,stay,0.4647200999988854,90,90,4014
