,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
46,7,145.5224422000001,stay,0.4466181999996479,68,244,2700
47,7,148.2583340000001,stay,0.582557500000803,56,300,2756
48,7,150.96841589999985,stay,0.4597262999996019,53,353,2809
49,7,153.7085932,stay,0.4997317999996085,44,397,2853
50,7,156.23869430000013,leave,0.4963562000002639,0,397,2853
51,8,161.6303995999997,stay,0.5386545000001206,86,86,2939
52,8,164.19859160000033,stay,0.5403001000004224,78,164,3017
53,8,166.67226860000028,stay,0.4969340999996348,74,238,3091
54,8,169.31449809999958,stay,0.5387773000002198,61,299,3152
55,8,172.02674389999993,stay,0.6018445999998221,55,354,3207
56,8,174.8902589999998,stay,0.7652651999997033,43,397,3250
57,8,178.13652749999983,leave,0.6614161000006789,0,397,3250
58,9,183.37649650000003,stay,0.5348969999995461,95,95,3345
59,9,186.20447380000041,stay,0.5630383999996411,76,171,3421
60,9,188.96246530000008,stay,0.6877262999996674,65,236,3486
61,9,191.62055189999955,stay,0.5455968000005669,55,291,3541
62,9,194.19061469999997,stay,0.4826177999993888,45,336,3586
63,9,197.0043168000002,leave,0.5628664999994726,0,336,3586
64,10,202.3124168000004,stay,0.5714447000000291,98,98,3684
65,10,204.8001892000002,stay,0.5088228000004165,84,182,3768
66,10,207.3546808000001,stay,0.496826599999622,75,257,3843
67,10,210.09435759999997,stay,0.6197002999997494,55,312,3898
68,10,212.59242520000043,stay,0.5010680000004868,48,360,3946
69,10,215.36274950000006,stay,0.70502100000067,41,401,3987
70,10,217.99825989999954,leave,0.5571566999997231,0,401,3987
71,11,223.3043349999998,stay,0.5133370999992621,99,99,4086
72,11,225.95853069999976,stay,0.5012158999998064,77,176,4163
73,11,228.61879789999966,stay,0.49470689999998285,69,245,4232
74,11,231.1482560000004,stay,0.47385579999991023,56,301,4288
75,11,233.85258179999983,stay,0.5954604999997173,47,348,4335
76,11,236.6285244999999,stay,0.537833700000192,37,385,4372
77,11,239.3947833000002,leave,0.5374247999998261,0,385,4372
78,12,244.65052039999955,stay,0.593368300000293,89,89,4461
79,12,247.19846849999976,stay,0.5415777999996862,78,167,4539
80,12,249.63426359999994,stay,0.4606803000006039,67,234,4606
81,12,252.13255990000016,stay,0.5089718999997785,58,292,4664
82,12,254.5102681999997,stay,0.47025480000047537,47,339,4711
83,12,256.98441679999996,stay,0.47769830000015645,43,382,4754
84,12,259.3425446000001,leave,0.4521268999997119,0,382,4754
85,13,264.5923542999999,stay,0.48580390000006446,91,91,4845
86,13,267.28218089999973,stay,0.5918965000000753,78,169,4923
87,13,270.04635400000006,stay,0.7232555000000502,69,238,4992
88,13,273.06804420000026,stay,0.7283491000007416,56,294,5048
89,13,275.6241815000003,stay,0.534584699998959,54,348,5102
90,13,278.4364859999996,stay,0.6970142999998643,45,393,5147
91,13,281.2551635000009,stay,0.615064199999324,31,424,5178
92,13,283.7846646000007,leave,0.5615681999988738,0,424,5178
93,14,289.0143230999993,stay,0.5249069000001327,92,92,5270
94,14,291.74666909999996,stay,0.657361999999921,82,174,5352
95,14,294.4048556000007,stay,0.515439000000697,66,240,5418
96,14,296.9723117000003,stay,0.48272799999904237,62,302,5480
97,14,299.84642090000034,stay,0.7397774000000936,45,347,5525
