,Tree number,Time elapsed,Decision,Reaction time,Reward,Cumulative reward per tree,Total cumulative reward
0,1,4.051762300005066,stay,1.15229269998963,93,93,93
1,1,7.542212700005621,leave,0.8252069000009215,0,93,93
2,2,13.597893500002101,stay,0.9485793000058038,98,98,191
3,2,17.24776589999965,leave,1.214695299990126,0,98,191
4,3,23.07023090000439,stay,0.7038608000002569,100,100,291
5,3,26.373757199995453,leave,0.7572051000024658,0,100,291
6,4,34.07401779999782,stay,0.7580642999964766,100,100,391
7,4,37.271820499998285,leave,0.7553692999936175,0,100,391
8,5,43.6838451000076,stay,1.2682192999927793,85,85,476
9,5,48.950071400002344,stay,0.8345880999986548,84,169,560
10,5,52.938102900006925,leave,1.2216313000099035,0,169,560
11,6,59.1079413999978,stay,0.9587509999983013,89,89,649
12,6,62.18616060000204,stay,0.987156999995932,81,170,730
13,6,65.99429489999602,leave,0.928939099991112,0,170,730
14,7,71.99039930000436,stay,1.30806009999651,87,87,817
15,7,74.94225789999473,leave,0.6770857000083197,0,87,817
16,8,80.90359990000434,stay,0.8211060000030557,85,85,902
17,8,87.60213110000768,leave,0.6033105000096839,0,85,902
18,9,93.21388110000407,stay,0.7324665999913123,88,88,990
19,9,96.27773810000508,stay,0.7298962000058964,76,164,1066
20,9,101.1839878000028,leave,0.5693679999967571,0,164,1066
21,10,107.12622989999363,stay,0.9783129999996163,85,85,1151
22,10,110.59235120000085,leave,1.0277798000024632,0,85,1151
23,11,117.0925317999936,stay,0.5449442000099225,91,91,1242
24,11,120.573687600001,leave,0.7261882000020705,0,91,1242
25,12,127.05408149999857,stay,1.390136900008656,88,88,1330
26,12,130.6357321999967,stay,0.8383914000005461,85,173,1415
27,12,133.79179250000743,leave,0.71130950000952,0,173,1415
28,13,139.7259888999979,stay,0.595679599995492,94,94,1509
29,13,143.1482176999998,leave,1.167015299986815,0,94,1509
30,14,150.9760932000063,stay,0.5795252999960212,97,97,1606
31,14,154.51000759999442,stay,1.1465226000000257,77,174,1683
32,14,157.8798439999955,leave,0.6829158000036841,0,174,1683
33,15,164.16445559999556,stay,0.8842908999940846,100,100,1783
34,15,167.5778575000004,stay,0.6649102000083076,85,185,1868
35,15,171.5296190999943,stay,1.1334991000039736,75,260,1943
36,15,174.90806610000436,leave,0.595253599996795,0,260,1943
37,16,181.7437670000072,stay,1.3641182999999728,97,97,2040
38,16,185.58770649999497,stay,0.9918936000030953,76,173,2116
39,16,188.59792749999906,leave,0.8848875999974553,0,173,2116
40,17,194.77782879999722,stay,0.7651247000030708,90,90,2206
41,17,199.15171229999396,leave,0.572445500001777,0,90,2206
42,18,205.56169269999373,stay,0.9327188000024762,88,88,2294
43,18,209.203966400004,leave,0.8077478999912273,0,88,2294
44,19,216.60224609999568,stay,0.9735056000063196,99,99,2393
45,19,219.88990330000524,stay,0.8611361000075703,76,175,2469
46,19,223.21197580000444,leave,0.7993521000025794,0,175,2469
47,20,230.19796099999803,stay,1.8029764000093564,97,97,2566
48,20,233.27792710000358,stay,0.6659293999982765,83,180,2649
49,20,236.17402479999873,leave,0.9117681000061566,0,180,2649
50,21,242.60825610000757,stay,1.1633561000053305,90,90,2739
51,21,245.99600169999758,stay,0.7008239999995567,78,168,2817
52,21,249.5061529999948,leave,0.844688999990467,0,168,2817
53,22,255.74415379999846,stay,1.0163177000067662,100,100,2917
54,22,259.68204879999394,stay,0.7874034999986179,82,182,2999
55,22,263.3157898000063,leave,1.2209615999890957,0,182,2999
56,23,269.49811119999504,stay,0.6534296999889193,96,96,3095
57,23,272.67209439999715,leave,0.6275171000015689,0,96,3095
58,24,279.452008799999,stay,1.1241277999943122,100,100,3195
59,24,282.9840166000067,stay,0.9894368999957805,81,181,3276
60,24,286.3137171999988,leave,0.7695501999987755,0,181,3276
61,25,292.7921539999952,stay,1.131832300001406,89,89,3365
62,25,295.9703814999957,stay,0.7595959000027506,76,165,3441
